,Q0-B,QID245,StudioLevel,"Q-S1,S","Q-S2,S","Q-S3,S","QS-P1,S","QS-P1,S_11_TEXT","QS-P1,S.1","QS-P1,S_11_TEXT.1","QS-P2,S","QS-P2,S_8_TEXT","QS-P3,S","QS-P3,S_9_TEXT","QS-P4,S_4","QE+A,V1,S,N_1","QE+A,V1,S,N_2","QE+A,V2,S,N_1","QE+A,V2,S,N_2","QE+A,V3,S,N_1","QE+A,V3,S,N_2","QE+A,V4,S,N_1","QE+A,V4,S,N_2","QE+A,V5,S,N_1","QE+A,V5,S,N_2","QE+A,All","QE+A,P1,S","QE+A,P1,S_11_TEXT","QE+A,P2,S","QE+A,P2,S_11_TEXT","QE+A,P3,S","QE+A,P4,S","QN+C,V1,S,R_1","QN+C,V1,S,R_2","QN+C,V2,S,N_1","QN+C,V2,S,N_2","QN+C,V3,S,R_1","QN+C,V3,S,R_2","QN+C,V4,S,R_1","QN+C,V4,S,R_2","QN+C,V4,S,R_1.1","QN+C,V4,S,R_2.1","QN+C,V5,S,R_1","QN+C,V5,S,R_2","QN+C,V6,S,R_1","QN+C,V6,S,R_2","QN+C,V6,S,R_1.1","QN+C,V6,S,R_2.1","QN+C,V7,S,N_1","QN+C,V7,S,N_2","QN+C,All","QN+C,P1,S","QN+C,P1,S_10_TEXT","QN+C,P1a,S","QN+C,P2,S","QN+C,P2,S","QN+C,P2aS,S","QN+C,P2a,S","QI+C,V1,S,N_1","QI+C,V1,S,N_2","QI+C,V2,S,N_1","QI+C,V2,S,N_2","QI+C,V3,S,R_1","QI+C,V3,S,R_2","QI+C,V4,N_1","QI+C,V4,N_2","QI+C,All","QI+C,P1,S","QI+C,P1,S_18_TEXT","QI+C,P2,S","QI+C,P2,S_10_TEXT","QI+C,P3,S","QI+C,P4,S","QS+U,V1,S,N _1","QS+U,V1,S,N _2","QS+U,V2,S,N_1","QS+U,V2,S,N_2","QS+U,V3,S,N_1","QS+U,V3,S,N_2","QS+U,V4,S,N_1","QS+U,V4,S,N_2","QS+U,V6,R_1","QS+U,V6,R_2","QS+U,V7,S,R_1","QS+U,V7,S,R_2","QS+U,V8,S,R_1","QS+U,V8,S,R_2","QS+U,All","QS+U,P1,S","QS+U,P1,S_10_TEXT","QS+U,P1,S.1","QS+U,P1,S_10_TEXT.1","QS+U,P2,S","QS+U,P2,S_9_TEXT","QS+U,P2,S.1","QS+U,P2,S_9_TEXT.1","QLA+BR,V1,S,N_1","QLA+BR,V1,S,N_2","QLA+BR,V2,S,R_1","QLA+BR,V2,S,R_2","QLA+BR,V3,S,N_1","QLA+BR,V3,S,N_2","QLA+BR,V3,FStaff,N_1","QLA+BR,V3,FStaff,N_2","QLA+BR,V4,S,R_1","QLA+BR,V4,S,R_2","QLA+BR,V5,S,N_1","QLA+BR,V5,S,N_2","QLA+BR,All ","LA+BR,P1,S","LA+BR,P1,S_9_TEXT","QC+D,V2,S,R_1","QC+D,V2,S,R_2","QC+D,V3,S,N_1","QC+D,V3,S,N_2","QC+D,V4,S,N_1","QC+D,V4,S,N_1_TEXT","QC+D,V4,S,N_2","QC+D,All","QC+D,P1,S","QC+D,P1,S_5_TEXT","QC+D,P2,S","QC+D,P2,S_9_TEXT","QC+CS,V1,S,N_1","QC+CS,V1,S,N_1_TEXT","QC+CS,V1,S,N_2","QC+CS,V2,S,R_1","QC+CS,V2,S,R_2","QC+CS,V3,S,R_1","QC+CS,V3,S,R_1_TEXT","QC+CS,V3,S,R_2","QC+CS,V4,R_1","QC+CS,V4,R_1_TEXT","QC+CS,V4,R_2","QC+CS,V5,N_1","QC+CS,V5,N_1_TEXT","QC+CS,V5,N_2","QC+CS,All","QC+CS,P1,S","QC+CS,P1,S_11_TEXT","QC+CS,P2a,S","QC+CSP2b,S","QT-C+E,V1,S,N_1","QT-C+E,V1,S,N_1_TEXT","QT-C+E,V1,S,N_2","QT-C+E,V2,S,R_1","QT-C+E,V2,S,R_1_TEXT","QT-C+E,V2,S,R_2","QT-C+E,V3,N_1","QT-C+E,V3,N_1_TEXT","QT-C+E,V3,N_2","QT-C+E,V4,S,R_1","QT-C+E,V4,S,R_1_TEXT","QT-C+E,V4,S,R_2","QT-C+E,V4,S,R_2_TEXT","QT+E,All","QT-C+E,P1,S","QT-C+E,P1,S_7_TEXT","QT-C+E,P2,S","QT-C+E,P3,S","QT-C+E,P4,S","QT-C+E,P4,S_11_TEXT","QT,L+C,V1,S,R_1","QT,L+C,V1,S,R_1_TEXT","QT,L+C,V1,S,R_2","QT,L+C,V2,S,R_1","QT,L+C,V2,S,R_1_TEXT","QT,L+C,V2,S,R_2","QT,L+C,V3,S,N_1","QT,L+C,V3,S,N_1_TEXT","QT,L+C,V3,S,N_2","QT-L+C,V4,S,N_1","QT-L+C,V4,S,N_1_TEXT","QT-L+C,V4,S,N_2","QT,L+C,V5,S,R _1","QT,L+C,V5,S,R _1_TEXT","QT,L+C,V5,S,R _2","QT,L+C,V6,S,R_1","QT,L+C,V6,S,R_1_TEXT","QT,L+C,V6,S,R_2","QT,L+C,V7,S,N_1","QT,L+C,V7,S,N_1_TEXT","QT,L+C,V7,S,N_2","QT-L+C,All","QT-L+C,P1,S_1","QT-L+C,P2,S","QT-L+C,P2,S_7_TEXT","QT,L+C,P3,S_1","QT,L+C,P4,S","QT,L+C,P4,S_9_TEXT","B1,All","B2,All","B2,All_10_TEXT","B3,S","B3,S_6_TEXT","B4,S","B5,S","B6,All","B7,All",QID265
15,,Student,1000 Level/ YR 1,Sometimes the ENVD major is overwhelming considering the materials and amount we have to purchase weekly. I think that there needs to be more provided supplies in case and acknowledgment that not everyone has access to for to the store that day. The book store has some supplies but often runs out. I think that per a studio class there’s needs to be a list of supplies needed per a projects and paper should be provided. ,It allows for a creative aspect of learning and open boundaries. ,"I think remote is less helpful, I think that being with other students provides for a more creative and encouraging atmosphere. ","Social Life,Finances,Mental Health",,,,,,"Vocabulary,Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking,Shaky voice,Stutter,Accent,Appearance",,200,3,4,,,,,,,5,5,,,,,,,Always,5,3,,,,,,,,,,,,,,,3,2,,"All students are encouraged to do their best,Experimental,Challenging,Competitive",,"I think that although studio can be collaborative, it is competitive and challenging. Which does bring out the best designs, but it’s just the reality of art. ",,Somewhat disagree,,,1,13,,,,,,,,I remove myself from social situations to focus on my work.,,,,Just being together ,Others work,2,3,,,,,,,,,1,1,5,3,,,,,,I want to meet the learning objectives.,,,,,,,,4,3,,,5,3,,,,"I want to meet all requirements.,I want to meet the learning objectives.,I want to better understand the instructor's interpretation of the assignment.,I want to better understand my interpretation of the assignment.",,,,1,3,,,,,"It only impacts me, if I do not succeed",,It would be unlikely for me to include elements from my background in the project,,1,,1,,,,,,,,,,,,,,,I consistently seek out critiques that differ from my own perspectives to change my ideas,,5,,3,,,,,,,,,,,,,,3-5,Moderately difficult,,,4,,5,,,,5,,4,,,,4,,2,,,,,,,,26,,,16,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Undecided,,1,No,Yes,Graduate Degree,
16,,Student,1000 Level/ YR 1,Sometimes it just feels very long. Probably because I’m burnt out by the end of a long day — but I really appreciate when professors finish studio up early and we can choose to stay and keep working or call it a day. ,"Collaboration. I really like the energy in my studios. I was in another major before ENVD, and I really appreciate the passion that my peers have in ENVD. ","Remote stinx! I have no motivation to collaborate with peers, All I wanted to do was the bare minimum on a project. Doing it from home was no fun. The difference is the motivation to do well in studio. ","Establishing a sense of belonging,Finances,Mental Health",,,,,,"Vocabulary,Knowledge of subject matter,Appearance",,175,3,3,,,,,,,2,2,,,,,,,Always,2,1,,,,,,,,,,,,,,,4,1,"Studio is a bit competitive in a good way. I like the drive to improve when I see other students doing things that I didn’t think of. I also don’t really like group projects at all so I really appreciate the individuality of it, while being able to feed off of each other’s ideas and get inspired together. ","Very creative,Collaborative,Experimental,Rewarding,Challenging,Competitive",,"Studio is challenging and competitive because it is individual, but it is collaborative because the small class size lets us work together and be inspired by one another. For that, it is rewarding. ",,Somewhat agree,,It is kind of scary to go out into the world after this. Probably because I don’t know what to expect. It is far away as a 1st year design buff.  ,13,2,,,,,,,,I remove myself from social situations to focus on my work.,,,,"Working near others on the same projects, communicating with peers about confusions ",It helps to work beside other students doing the same things. It is motivating and makes it more fun ,4,1,,,,,,,,,4,3,5,4,I wish as students we were more willing to take less direction from instructors — wish we were more go with the flow. ,,,,,"In consultation with the faculty lead, I can guide the purpose of the studio assignment.",,,,,,,,4,1,,,2,2,,,,"I want to meet all requirements.,Different faculty encourage different aesthetic principles.,Graphical communication is a significant determinant for the final evaluation.",,,,2,4,,,,I wish we were more relationship oriented. EspeicAlly with instructors. I wish we challenged our own world views more.  I wish assignments were more relative to world view (such as relating to social justice issues),"It impacts my family as well as myself, if I do not succeed",,Acceptance,,1,,1,,,,,,,,,,,,WhT you put in you get out. I like that ,,,I rarely seek out critiques that differ from my own perspectives to change my ideas,,4,,2,,,,,,,,,,,,,,0,Slightly difficult,,,5,,1,,,,3,,1,,,,4,,3,,,,,,,The requirement for students to adapt to the environment is satisfying. It makes me feel like we are preparing for the real world ,18,,,10,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Undecided,,3,No,No,Undergraduate Degree,
17,,Student,1000 Level/ YR 1,"The length sometimes. Sometimes its good to have three hours to work, but to be required every class period i think can be too much",Getting to work individually ,you get more done in person than remote,"Establishing a sense of belonging,Social Life,Finances",,,,,,"Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking,Appearance",,200,2,2,,,,,,,1,1,,,,,,,About half the time,4,4,,,,,,,,,,,,,,,2,3,,"Experimental,Competitive",,"People compete a lot, and they can sometimes be rude about it ",,Somewhat agree,,Personnal reasons,1,1,,,,,,,,I remove myself from social situations to focus on my work.,,,,When people openly collaborate. Studio can be a really lonely place,Sometimes it doesn't. I get feedback from my instructor and I get to see what other people are doing - but I feel like the classmates are not open and accepting towards me,2,2,,,,,,,,,4,1,3,3,,,,,,I want to better understand my interpretation of the assignment.,,,,,,,,3,3,,,3,4,,,,"I want to meet all requirements.,I want to meet the learning objectives.,I want to better understand my interpretation of the assignment.,Different faculty encourage different aesthetic principles.",,,,1,5,,,,,"It impacts my family as well as myself, if I do not succeed",,Acceptance,,1,,2,,,,,,,,,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,5,,1,,,,,,,,,,,,,,0,Slightly difficult,,,3,,1,,,,1,,2,,,,3,,2,,,,,,,,19,,,0,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Architecture,,1,No,No,Graduate Degree,
18,,Student,1000 Level/ YR 1,The length….a 2 and a half hour long studio is a little much….I feel like it’s easier to have a shorter class and then work when/where we want to rather than being stuck in the studio for 2 and a half hours.,I like the beginnings where we are assigned work and then can chat with others about what we’re doing.,Work space. Sometimes I found it really hard to get work done at home because there just wasn’t an appropriate space for me to work.,"Time management,Expectations,Mental Health",,,,,,"Clear explanation of design thinking,Shaky voice",,180,3,3,,,,,,,3,2,,,,,,,Sometimes,1,1,,,,,,,,,,,,,,,2,3,,"All students are encouraged to do their best,Very creative,Experimental,Challenging",,,,Disagree,,I’m changing majors ,1,1,,,,,,,,I take a break and go for a walk alone to come back feeling refreshed.,,,,,,2,3,,,,,,,,,1,1,4,4,,,,,,The assignment is unclear.,,,,,,,,5,1,,,4,5,,,,I want to better understand the instructor's interpretation of the assignment.,,,,3,1,,,,,"It only impacts me, if I do not succeed",,Encouragement to develop further,,1,,1,,,,,,,,,,,,,,,I sometimes seek reinforcements for the present ideas,,4,,4,,,,,,,,,,,,,,3-5,Extremely difficult,,,3,,4,,,,1,,3,,,,3,,3,,,,,,,,30,,,0,Other,I would go to the family event and stress the entire time and probably have an anxiety attack and not ask for an extension and eventually accept that the work will probably not be my best work.,Female,Two or more races,,Undecided,,1,No,Yes,Post Graduate Degree,
19,,Student,3000 Level/ YR 3,Sometimes I feel like studio is too repetitive. I don't know what all my options are for Landscape designers. I know there are many but we've only focused on Streets/ plazas. I loved learning about schoolyards and I'd love to see what else we can do. ,I love how it feels like a community. I love how I know my professors and other students so well.,in person feels way more collaborative and less time consuming. I also felt like I knew what was going on in the class much better. Online felt very long and tiring. ,,,,,,,"Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking,Shaky voice,Stutter,Appearance",,47,,,,,3,1,,,,,,,,"I open my mind to another's perspective,I take full responsibility for the design",,,,,,,,2,1,,,,,,,,,,,,,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Rewarding,Challenging,Competitive",,,,,,,,,,,4,1,,,,,,,,grouped tables help to communicate and ask opinions with others + teachers come by to check in as well.,"I feel more confident when I am comfortable with other classmates, especially since we have to present so often it is nice to feel comfortable. ",,,3,3,,,5,1,,,4,1,,,,I go with the flow.,,,,,,,,1,1,,,4,1,,,,,,,,"I want to meet all requirements.,Different faculty encourage different aesthetic principles.",,3,3,3,3,,,,,"It impacts my family as well as myself, if I do not succeed",,It would be unlikely for me to include elements from my background in the project,,,,,,,4,,4,3,,3,,,,,,,I sometimes seek reinforcements for the present ideas,some teachers will build on your ideas or they'll have you start completely over.. it's helpful of course but not when so many hours have already been put in,,,,,,,1,,4,,,,,I think it makes our work more fun to complete when we can create when our ideas come to us rather than structured and quick way,,,0,,,,,,,,,,3,,3,5,,3,5,,1,,,,,,,,24,,,1,I would go to the family event and bring what I have to the project presentation.,,Female,"White, Caucasian",,Landscape Architecture,,3,No,No,Post Graduate Degree,
20,,Student,3000 Level/ YR 3,Lack of structure between different sections in a single studio,Collaboration,Actually get feedback from others more often,,,,,,,"Vocabulary,Knowledge of subject matter,Clear explanation of design thinking",,200,,,,,3,4,,,1,1,I spend more than $200 per studio usually ,,,"I engage with curiosity,I open my mind to another's perspective,I take full responsibility for the design",,,,,,,,2,2,,,,,,,,,,,,,,"All students are encouraged to do their best,Very creative,Collaborative,Rewarding,Challenging,Competitive",,,,,,,,,,,3,3,,,,,,,,,,,,2,2,,,3,4,,,1,1,,,,The studio is already flexible. Changes are not disruptive.,,,,,,,,2,2,,,5,1,,,,,,,,"The assignment is unclear.,The goals of the studio assignment are open to interpretation.",,2,2,1,3,,,,,"It impacts my family as well as myself, if I do not succeed",,Acceptance,,,,,,,1,,2,2,,2,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,,,,,,,3,,2,,,,,,,,6-7,,,,,,,,,,1,,1,4,,2,2,,2,,,,,,,,30,,,10,"I would dedicate time earlier to work on the project, so that I can do both.",,Male,"White, Caucasian",,Environmental Product Design,,3,No,No,Undergraduate Degree,
21,,Student,1000 Level/ YR 1,"It's a pain having to bring in all of my drafting/modeling supplies into class, I've got everything set up well at home and generally prefer to do my work there.","Time for clarification, informal and formal critique, and the inspiration that is recieved from other students.   ",I think the key difference is in the social aspect I feel a lot more connected to everybody in my studio when we're in person as online studios aren't very conducive to side-conversations. ,"Time management,Expectations,Mental Health",,,,,,"Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking,Shaky voice,Stutter,Appearance",,135,4,2,,,,,,,5,5,,,,,,,Usually,2,1,,,,,,,,,,,,,,,3,3,,"Very creative,Experimental,Rewarding,Challenging,Only excellence is encouraged",,I think excellence in terms of final projects can put a limit on creativity and experimentation. I think that having a well-crafted and excellent model is incredibly important but it often feels too risky at times to move away from status-quo and explore creatively at all.,,Agree,,,2,13,,,,,,,,I remove myself from social situations to focus on my work.,,,,,,1,3,,,,,,,,,2,4,4,3,,,,,,Other,My instructor is unclear. ,,,,,,,2,3,,,4,4,,,,"I want to meet all requirements.,I want to better understand the instructor's interpretation of the assignment.,I want to better understand my interpretation of the assignment.,Graphical communication is a significant determinant for the final evaluation.",,,,1,3,,,,,"It impacts my family as well as myself, if I do not succeed",,Confusion,,2,,2,,,,,,,,,,,,,,,I sometimes seek reinforcements for the present ideas,,2,,3,,,,,,,,,,,,,,1-2,Slightly difficult,,,2,,2,,,,1,,2,,,,5,,4,,,,,,,,30,,,17,"I would dedicate time earlier to work on the project, so that I can do both.",,Male,"White, Caucasian",,Undecided,,2,Yes,No,Some College,
22,,Student,1000 Level/ YR 1,sometimes we dont get enough work time in class,"Working and collaborating with classmates, gettting feedback from instructors","in remote studio, its really hard to learn because studio is a class that is based on creating mostly physical things","Living away from home,Social Life,Mental Health",,,,,,Clear explanation of design thinking,,150,2,3,,,,,,,1,1,,,,,,,Sometimes,4,2,,,,,,,,,,,,,,,5,2,,"Very creative,Collaborative,Experimental,Challenging,Competitive",,"studio is very fun and creative, but feels competitive sometimes",,Agree,,I'm not very knowledgeable about this topic ,2,1,,,,,,,,I take a break and go for a walk alone to come back feeling refreshed.,,,,critique,i can get good ideas from others,3,1,,,,,,,,,4,1,4,1,,,,,,I want to better understand the instructor's interpretation of the assignment.,,,,,,,,4,1,,,4,1,,,,"I want to meet all requirements.,I want to better understand the instructor's interpretation of the assignment.,I want to better understand my interpretation of the assignment.,The goals of the studio assignment are open to interpretation.,Graphical communication is a significant determinant for the final evaluation.",,,,1,1,,,,,"It only impacts me, if I do not succeed",,Acceptance,,4,,1,,,,,,,,,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,5,,1,,,,,,,,,,,,,,0,Slightly difficult,,,5,,2,,,,5,,1,,,,3,,3,,,,,,,,16,,,0,"I would dedicate time earlier to work on the project, so that I can do both.",,Male,"White, Caucasian,Other",Middle eastern,Architecture,,1,No,No,Graduate Degree,
23,,Student,1000 Level/ YR 1,Sometimes it can get rather long if we are not actively working on a project.,"I enjoy the semi-casual atmosphere, especially as someone who work well when I am able to converse with others. ",In-person is much easier for me as sitting on a computer for studio bothers me particularly as it is a such a long class and my mind begins to wander. ,"Establishing a sense of belonging,New learning environments,Social Life",,,,,,"Vocabulary,Knowledge of subject matter,Clear explanation of design thinking,Appearance",,100,1,1,,,,,,,1,1,,,,,,,Sometimes,1,1,,,,,,,,,,,,,,,2,3,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Rewarding,Challenging",,I find studio to be a collaborative space in which we are learning how to take risks and experiment with what certain aspects of design truly mean. ,,Agree,,"It is never guaranteed that I will be able to secure a job in this field however, I believe that this program will set me up with key skills to be successful in the workplace. ",14,1,,,,,,,,I work in collaboration with peers to do my best work.,,,,"Since we have not had a huge amount of group work, I feel that being able to simply ask others for their opinions to help better our projects is incredibly beneficial. ","I tend to work better when I can talk to, and get feedback from others. Additionally being away from my home or dorm helps motivate me more to get work done. ",3,2,,,,,,,,,2,2,3,2,,,,,,I want to better understand my interpretation of the assignment.,,,,,,,,3,3,,,2,3,,,,"I want to meet all requirements.,I want to better understand my interpretation of the assignment.,The goals of the studio assignment are open to interpretation.",,,,3,3,,,,,"My family is not impacted, if I do not succeed",,Encouragement to develop further,,1,,1,,,,,,,,,,,,,,,I consistently seek out critiques that differ from my own perspectives to change my ideas,I generally try to get differing view points of what I have done in order to understand all sides of a project. Sometimes I may be offered a critique that I myself would not have thought of.,4,,2,,,,,,,,,,,,,,0,Moderately easy,,,5,,1,,,,1,,1,,,,3,,3,,,,,,,,15,,,0,"I would dedicate time earlier to work on the project, so that I can do both.",,Male,"White, Caucasian",,Undecided,,1,No,No,Post Graduate Degree,
24,,Student,1000 Level/ YR 1,Occasionally having studio in the basement of ENVD was a bit draining. Having a studio in a different location would have been nice. ,I love the collaborative and creative environment of studio. I have met some of my best friends late at night in the studio. ,Remote studio is very hard to do efficiently simply from a lack of resources and a lack of guidance. It also is very strenuous to be on a zoom call for the entire 3 hours of studio. ,"Living away from home,Missing family traditions (e.g. family dinner),Finances",,,,,,Shaky voice,,200,2,1,,,,,,,3,4,Throughout the semester there were many times when students had to purchase their own supplies and materials. There was a clear variance in the quality of the models between people that could afford nicer supplies and people that had to recycle. I know this is a major consideration for people questioning their return to ENVD next year. ,,,,,,About half the time,2,1,,,,,,,,,,,,,,,3,3,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Rewarding,Competitive",,I find the studio environment to be very encouraging and creative. I think the competitive aspect of studio mainly stems from my own personality and goals. ,,Agree,,I think I will have the resources I will need to succeed in the work force. I sometimes question the availability and demand of the job I want however.,13,13,,,,,,,,I work near my peers to compare my work to others to gauge my level of production.,,,,"Recently my studio had a project based on collaborating with a team. While this was frustrating at times, I found it to be a great way to collaborate with my peers and to get different perspectives on issues other than my own. ",I like that I am able to use my peers to help critique my work and to ask questions about the assignment if I have any. I also enjoy the creative energy that is present during studio.,1,1,,,,,,,,,3,2,3,2,,,,,,I want the assignment to be completed to meet all requirements.,,,,,,,,3,3,,,2,1,,,,Graphical communication is a significant determinant for the final evaluation.,,,,1,2,,,,,"It only impacts me, if I do not succeed",,Encouragement to develop further,,3,,3,,,,,,,,,,,,,,,I consistently seek reinforcements for the present ideas,"I think it is valuable to hear critiques from a variety of people but I also think it is important to stay true to my own intuition,",1,,2,,,,,,,,,,,,,,0,Moderately easy,,,5,,2,,,,3,,3,,,,4,,4,,,,,,,,25,,,10,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"African American, African, Black, Caribbean,White, Caucasian",,Architecture,,1,No,No,Post Graduate Degree,
25,,Student,2000 Level/ YR 2,being in person,creativity ,I don't like having my time managed for me so being online gives more freedom,,,,,"Grades,Unclear expectations,Other","it feels unfair to say but I've had two studios taught by new faculty members and as section instructors, they are not helpful because they rely so heavily on the coordinator","Judgment of audience,Shaky voice,Stutter,Appearance",,97,,,4,3,,,,,4,1,,,,,,,,,,4,4,,,,,,,4,3,,,,,,,,"All students are encouraged to do their best,Collaborative,Experimental,Challenging",,,,,,,,,1,1,,,,,,,,I take the input and offer feedback for them as well.,,"forced group work, asking students to give peer feedback ",creative liberty,,,,,2,2,,,,,4,4,,,,,,,,,,The goals of the studio assignment are open to interpretation.,,,,3,3,4,1,,,,,,,,"I want to meet all requirements.,I want to better understand the instructor's interpretation of the assignment.,I want to better understand my interpretation of the assignment.,Graphical communication is a significant determinant for the final evaluation.",,,,2,3,2,,1,,"It impacts my family as well as myself, if I do not succeed",,It would be unlikely for me to include elements from my background in the project,,,,,2,2,,,,,,,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,,,,1,,4,,,,,,,,,,,0,,"Waiting for a desk critique,Doing design work on my computer,Other",so much waiting ,,,,2,,3,3,,3,,,,4,,3,,,,3,,3,,10,Students are in the zone and sometimes don't notice the time.,,9,"I would dedicate time earlier to work on the project, so that I can do both.",,Male,"White, Caucasian",,Landscape Architecture,,3,No,Yes,Graduate Degree,
27,,Student,4000 Level/ YR 4,how hot it gets in 3rd floor studio spaces in the summer,collaborative work environment,"Remote studio has the benefit of sharing each other's work on Miro, where students can seek inspiration.  In-person studio provides students opportunities to see each others work and discuss about it.",,,"Time management,Finances,Mental Health",,,,"Vocabulary,Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking",,15,,,,,,,1,1,1,1,,"the professional jury,the faculty grading the assignment,another faculty member who I respect,students engaged with the project review,the friends/family that I shared the project with",,,,,,,,,,,,5,1,,,,,1,1,,,,,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Rewarding,Challenging,Competitive",,Overall it is a supportive learning environment,Agree,,Having previous summer internship with a firm in Denver helps give me confidence in my job hunt.,,,,,,,,5,1,,,,,,desk crits and group projects,I get to be inspired by other students' work.,,,,,,,,,1,1,2,1,,,,,,The studio is already flexible. Changes are not disruptive.,,,,,,,,,,3,2,,,,,3,2,,"I want to meet the learning objectives.,I want to better understand my interpretation of the assignment.",,,,4,1,,,,,"It impacts my family as well as myself, if I do not succeed",,Encouragement to develop further,,,,,,,,,,,,,2,,2,,"Students observe their own progression and skills improve.,Students take on something new to make sure that learning more.",,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,,,,,,,,,,4,,1,,,The student had no choice. There were external factors beyond her/her control.,,1-2,,,,,,,,,,1,,1,,,,2,,2,1,,2,,,,,20,,,13,I would not go to the family event and focus on the project.,,Male,"Asian,White, Caucasian",,Landscape Architecture,,5 or more,No,No,Undergraduate Degree,
28,,Student,3000 Level/ YR 3,Not having my own workspace or storage space. ,The collaboration and creativity that happens with others.,"Collaboration is very hard in the remote studio, in-person it is so much easier to talk with others.",,,,,,,"Vocabulary,Knowledge of subject matter,Clear explanation of design thinking,Stutter,Appearance",,155,,,,,4,4,,,2,2,,,,"I open my mind to another's perspective,I nod my head but quietly disagree,I see it as an opportunity to openly discuss the disagreement,I take full responsibility for the design",,,,,,,,3,4,,,,,,,,,,,,, I have found that when I am in a studio where everyone is creating their own design for the same site there is more competition than collaboration. But when everyone is focused on working together on one design of each group has their own design there is so much more collaboration.,"All students are encouraged to do their best,Very creative,Collaborative,Rewarding,Not rewarding,Challenging,Competitive",,"In the beginning studios the tone is less collaborative and creative and more competitive and challenging. The upper division studios have been more rewarding, creative, collaborative, and just overall a more positive experience. I think that has to do with the longer allotted time to spend on a project as well as being more encouraged to work with my classmates in upper division studios.",,,,,,,,,5,1,,,,,,,,"Creating group projects, and group discussions that engage everyone, and it allows everyone to work and get to know everyone else in the studio.",Having individual desk crits and getting individual feedback from peers. Having some creative individual assignments.,,,2,2,,,5,1,,,1,1,,,,I go with the flow.,,,,,,,,1,1,,,5,1,,,,,,,Being challenged by other is great as long as it is done in a respectful manner.,"I want to meet all requirements.,I want to meet the learning objectives.,I want to better understand the instructor's interpretation of the assignment.,I want to better understand my interpretation of the assignment.,Different faculty encourage different aesthetic principles.,Graphical communication is a significant determinant for the final evaluation.",,3,1,2,3,,,,,"It only impacts me, if I do not succeed",,Encouragement to develop further,,,,,,,2,,1,3,,2,,,,,,,I sometimes seek reinforcements for the present ideas,"I think it depends on how I feel about my project, if I really love my idea I seek for reinforcements and any critiques that could evolve it.  If I am not loving it as much I seek for any and all critiques that could change it to make it better.",,,,,,,5,,1,,,,,,,,3-5,,,,,,,,,,2,,2,5,,1,4,,5,,,,,,,,30,,,18,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,Native Hawaiian or Other Pacific Islander,,Landscape Architecture,,3,No,No,Undergraduate Degree,
29,,Student,2000 Level/ YR 2,I think they are an hour too long. ,Getting to collaborate and be creative. ,"There is little to no collaboration between students online. Also, class engagement is much more difficult online. ",,,,,"Grades,Juggling other responsibilities,Unclear expectations",,Clear explanation of design thinking,,200,,,4,5,,,,,4,5,,,,,,"Yes, several of my studio teachers do not do a good job of conveying their honest expectations in class. They seem to want to be overly positive during class and then only provide strong critique after the assignment is already finished. ",,,,3,3,,,,,,,4,3,,,,,,,,"All students are encouraged to do their best,Rewarding,Challenging",,I think that a lot of the creativity and collaboration is overshadowed by grading. The process work is graded weekly which places grades at the top priority instead of the creative process. ,,,,,,,3,3,,,,,,,,I take the input and offer feedback for them as well.,,Prioritizing in person learning is the best way to encourage collaboration. ,I can ask questions and receive feedback quickly. ,,,,,1,1,,,,,1,1,,,,,,,,,,I want the assignment to be completed to meet all requirements.,,,,5,4,2,3,,,,,,,,"I want to meet all requirements.,The assignment is unclear.,I want to better understand the instructor's interpretation of the assignment.,Graphical communication is a significant determinant for the final evaluation.",,,,2,4,2,,2,,"It only impacts me, if I do not succeed",,Acceptance,,,,,2,2,,,,,,,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,I feel that I receive a lot of feedback already in class so I do not consistently feel like I have to seek out more feedback. ,,,,4,,3,,,,,,,,,,,0,,"Waiting for a desk critique,Doing design work on my computer,Peer critiquing",,,,,4,,4,5,,5,,,,3,,3,,,,2,,2,,18,Students don't stay and prefer to work in at home.,,4,"I would dedicate time earlier to work on the project, so that I can do both.",,Male,"White, Caucasian",,Landscape Architecture,,2,No,No,Graduate Degree,
